ID,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
383,0,12,12,0,2,1,3,0,1,69,82,20,28,1,1,0,2
384,0,12,12,0,2,1,3,1,1,70,83,29,33,1,1,0,2
385,1,12,12,0,2,1,3,0,1,89,92,40,28,1,1,0,2
386,1,12,12,0,2,1,3,1,1,79,93,49,23,1,1,0,2
387,0,5,5,0,2,1,3,0,1,15,90,21,97,1,1,0,1
388,0,5,5,0,2,1,3,1,1,20,77,31,88,1,1,0,1
389,0,3,3,0,2,1,3,0,1,4,10,11,7,0,1,1,0
390,0,3,3,0,2,1,3,1,1,5,0,1,8,0,1,1,0
391,1,5,5,1,7,0,7,0,1,88,81,50,10,1,1,1,1
392,1,5,5,1,7,0,7,1,1,90,88,54,12,1,1,1,1
393,1,12,12,1,7,0,7,0,1,86,98,50,20,1,1,0,2
394,1,12,12,1,7,0,7,1,1,90,90,57,22,1,1,0,2
395,0,11,11,1,7,0,7,0,1,78,91,50,40,1,1,0,2
396,0,11,11,1,7,0,7,1,1,70,98,54,72,1,1,0,2
397,0,5,5,1,7,0,7,0,0,80,80,46,61,1,0,0,1
398,0,5,5,1,7,0,7,1,0,85,82,59,63,1,0,0,1
399,0,11,11,1,7,0,7,0,0,88,90,86,81,1,1,0,2
400,0,11,11,1,7,0,7,1,0,89,92,89,83,1,1,0,2
401,0,5,5,1,7,0,7,0,0,39,71,40,26,0,1,1,1
402,0,5,5,1,7,0,7,1,0,35,80,34,22,0,1,1,1
403,0,5,5,1,7,0,7,0,0,76,81,80,86,0,1,0,2
404,0,5,5,1,7,0,7,1,0,65,89,64,82,0,1,0,2
405,1,10,10,1,7,0,7,0,1,96,95,70,70,1,1,0,2
406,1,10,10,1,7,0,7,1,1,80,91,87,72,1,1,0,2
407,0,5,5,1,7,0,7,0,1,2,9,10,1,0,0,1,0
408,0,5,5,1,7,0,7,1,1,3,8,19,3,0,0,1,0
409,0,5,5,1,7,1,7,0,0,50,79,10,31,0,0,0,1
410,0,5,5,1,7,1,7,1,0,53,88,9,33,0,0,0,1
411,1,5,5,1,7,1,7,0,1,70,89,12,21,0,1,0,2
412,1,5,5,1,7,1,7,1,1,59,90,19,43,0,1,0,2
413,0,5,5,1,7,1,7,0,0,78,80,66,51,1,1,0,1
414,0,5,5,1,7,1,7,1,0,79,72,79,83,1,1,0,1
415,1,13,13,1,7,1,7,0,1,10,9,2,1,0,1,1,0
416,1,13,13,1,7,1,7,1,1,9,7,9,3,0,1,1,0
417,0,12,12,1,7,1,7,0,0,98,90,86,71,1,1,0,2
418,0,12,12,1,7,1,7,1,0,89,92,89,83,1,1,0,2
419,0,5,5,1,7,1,7,0,0,88,90,76,81,1,1,0,2
420,0,5,5,1,7,1,7,1,0,99,96,89,84,1,1,0,2
421,1,5,5,1,8,0,6,0,1,82,89,22,31,1,1,0,2
422,1,5,5,1,8,0,6,1,1,84,92,29,43,1,1,0,2
423,1,5,5,1,8,0,11,0,1,70,69,46,45,1,1,1,1
424,1,5,5,1,8,0,11,1,1,74,62,49,43,1,1,1,1
425,1,5,5,1,8,0,11,0,1,90,79,76,79,1,1,0,2
426,1,5,5,1,8,0,11,1,1,84,77,79,68,1,1,0,2
427,0,5,5,1,8,0,6,0,1,80,80,62,11,1,1,1,1
428,0,5,5,1,8,0,6,1,1,81,82,69,13,1,1,1,1
429,0,3,3,1,8,0,6,0,0,10,0,2,41,0,0,1,0
430,0,3,3,1,8,0,6,1,0,11,2,9,49,0,0,1,0
431,0,3,3,1,8,0,11,0,0,85,89,22,61,0,0,0,2
432,0,3,3,1,8,0,11,1,0,80,89,23,68,0,0,0,2
433,0,3,3,1,8,0,11,0,0,95,87,62,81,0,0,0,1
434,0,3,3,1,8,0,11,1,0,87,79,73,98,0,0,0,1
435,0,5,5,1,8,0,6,0,1,85,87,72,10,1,1,1,1
436,0,5,5,1,8,0,6,1,1,79,88,79,20,1,1,1,1
437,0,5,5,1,8,0,11,0,1,80,81,71,30,1,1,0,1
438,0,5,5,1,8,0,11,1,1,70,83,70,23,1,1,0,1
439,0,5,5,1,8,0,6,0,1,80,82,76,19,1,1,0,1
440,0,5,5,1,8,0,6,1,1,70,82,75,29,1,1,0,1
441,0,5,5,1,8,0,11,0,1,89,87,86,15,1,1,0,1
442,0,5,5,1,8,0,11,1,1,90,86,85,10,1,1,0,1
443,0,5,5,1,8,0,9,0,1,69,77,76,75,1,1,1,1
444,0,5,5,1,8,0,9,1,1,70,76,65,70,1,1,1,1
445,0,5,5,1,8,0,6,0,1,75,72,64,39,1,1,1,0
446,0,5,5,1,8,0,6,1,1,72,76,66,40,1,1,1,0
447,0,5,5,1,8,0,11,0,1,77,82,74,79,1,1,0,1
448,0,5,5,1,8,0,11,1,1,71,84,67,80,1,1,0,1
449,0,5,5,1,8,0,9,0,1,87,92,74,89,1,1,0,2
450,0,5,5,1,8,0,9,1,1,81,84,77,85,1,1,0,2
451,1,5,5,1,8,0,6,0,0,15,97,22,10,1,1,0,2
452,1,5,5,1,8,0,6,1,0,19,98,20,2,1,1,0,2
453,1,5,5,1,8,0,11,0,0,25,82,52,20,1,1,1,1
454,1,5,5,1,8,0,11,1,0,29,78,40,12,1,1,1,1
455,1,5,5,1,8,0,9,0,0,45,87,57,80,1,1,0,1
456,1,5,5,1,8,0,9,1,0,39,88,43,72,1,1,0,1
457,1,5,5,1,8,0,6,0,0,85,90,52,30,1,1,0,2
458,1,5,5,1,8,0,6,1,0,79,91,49,22,1,1,0,2
459,0,12,12,1,8,0,6,0,0,90,91,80,81,1,1,0,2
460,0,12,12,1,8,0,6,1,0,80,90,80,83,1,1,0,2
461,0,12,12,1,8,0,11,0,0,80,83,82,71,1,1,1,1
462,0,12,12,1,8,0,11,1,0,71,81,83,72,1,1,1,1
463,0,12,12,1,8,0,9,0,0,72,87,72,89,1,1,1,1
464,0,12,12,1,8,0,9,1,0,69,77,83,92,1,1,1,1
465,1,5,5,1,8,0,6,0,1,85,99,42,90,1,1,0,2
466,1,5,5,1,8,0,6,1,1,89,96,45,92,1,1,0,2
467,1,5,5,1,8,0,11,0,1,80,82,64,58,1,1,0,2
468,1,5,5,1,8,0,11,1,1,87,93,63,60,1,1,0,2
469,1,5,5,1,8,0,6,0,0,15,9,14,80,0,0,1,0
470,1,5,5,1,8,0,6,1,0,9,6,15,85,0,0,1,0
471,0,5,5,1,8,0,9,0,0,81,86,86,41,1,1,0,1
472,0,5,5,1,8,0,9,1,0,78,82,78,53,1,1,0,1
473,0,11,11,1,8,0,11,0,0,80,87,74,68,1,1,0,1
474,0,11,11,1,8,0,11,1,0,85,88,79,70,1,1,0,1
475,1,5,5,1,8,0,6,0,0,2,7,4,8,0,0,1,0
476,1,5,5,1,8,0,6,1,0,5,4,5,8,0,0,1,0
477,1,5,5,1,8,0,11,0,0,50,77,14,28,0,0,0,1
478,1,5,5,1,8,0,11,1,0,55,74,25,29,0,0,0,1
479,1,5,5,1,8,0,9,0,0,30,17,14,57,0,0,1,0
480,1,5,5,1,8,0,9,1,0,35,14,23,62,0,0,1,0
